pais,ciudad,zona,moneda,portal,link,codigo_anuncio,tipo_inmueble,titulo,precio_venta,area_m2,precio_m2,precio_m2_clasificacion,metodo_atipico,mediana_precio_m2_zona,bajo_media_zona,habitaciones,banos,parqueaderos,estrato,administracion,barrio_texto,barrio_comun_texto,posible_duplicado,modelo_repetido_edificio_nuevo,dentro_poligono_real,distancia_similitud,metodo_similitud,similar_a_zona,latitud,longitud,fecha_extraccion,fecha_consulta,observaciones,filtro_arquitectonico,motivo_no_pasa,disponible,motivo_no_disponible,estado_seguimiento,responsable,fecha_actualizacion,etapa,requiere_revision
Colombia,Bogotá,El Retiro,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-el-retiro-3-habitaciones-3-banos-3-garajes/771-M5273924,771-M5273924,Apartamento,"Apartamento en Venta, El Retiro, Bogotá D.C.",1950000000.0,235.0,8297872.0,normal,,9388646.0,True,3.0,3.0,3.0,6.0,1730000.0,EL RETIRO,El Retiro,False,False,True,,,,4.66666,-74.05066,2026-07-23T12:24:18,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Bogotá,El Retiro,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-los-rosales-3-habitaciones-4-banos-2-garajes/14914-M5803213,14914-M5803213,Apartamento,"Apartamento en Venta, El Retiro, Bogotá D.C.",1950000000.0,219.0,8904110.0,normal,,9388646.0,True,3.0,4.0,2.0,6.0,1700000.0,LOS ROSALES,El Retiro,False,False,False,0.7320720267300388,mcd_robusto,True,4.66183,-74.04897,2026-07-23T12:24:18,2026-09-07,"Fuera del polígono real de la zona, pero estadísticamente similar a los predios confirmados dentro (mcd_robusto): candidato a incluir igual",pendiente,,pendiente,,,,,,True
Colombia,Bogotá,La Cabrera,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-cabrera-3-habitaciones-4-banos-3-garajes/MC5765305,MC5765305,Apartamento,"Apartamento en Venta, LA CABRERA RESERVADO Chicó, Bogotá D.C.",3450000000.0,243.0,14197531.0,normal,,11342282.0,False,3.0,4.0,3.0,6.0,3168000.0,LA CABRERA,LA CABRERA RESERVADO Chicó,False,False,True,,,,4.669906,-74.05224,2026-07-23T12:24:25,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Bogotá,Chicó,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-2-habitaciones-3-banos-2-garajes/MC6614141,MC6614141,Apartamento,"Apartamento en Venta, CHICO NORTE Zona Urbana, Bogotá D.C.",1100000000.0,123.0,8943089.0,normal,,9117647.0,True,2.0,3.0,2.0,6.0,1414000.0,CHICO NORTE,CHICO NORTE Zona Urbana,False,False,True,,,,4.678484,-74.05298,2026-07-23T12:24:34,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Bogotá,Chicó,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-3-habitaciones-3-banos-2-garajes/16913-M5679513,16913-M5679513,Apartamento,"Apartamento en Venta, Chico Norte, Bogotá D.C.",1700000000.0,150.0,11333333.0,normal,,9117647.0,False,3.0,3.0,2.0,6.0,1500000.0,CHICO NORTE,Chico Norte,False,False,True,,,,4.6801484,-74.0421688,2026-07-23T12:24:34,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Bogotá,Chicó,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-2-habitaciones-3-banos-3-garajes/418-M6874018,418-M6874018,Apartamento,"Apartamento en Venta, CHICO NORTE, Bogotá D.C.",2500000000.0,205.0,12195122.0,normal,,9117647.0,False,2.0,3.0,3.0,6.0,1900000.0,CHICO NORTE,CHICO NORTE,False,False,True,,,,4.679222106933594,-74.05321502685547,2026-07-23T12:24:34,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Bogotá,Chicó,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-et-ii-3-habitaciones-2-banos-1-garajes/16630-M6880267,16630-M6880267,Apartamento,"Apartamento en Venta, CHICO NORTE, Bogotá D.C.",840000000.0,118.0,7118644.0,normal,,9117647.0,True,3.0,2.0,1.0,6.0,970000.0,CHICO NORTE ET II,CHICO NORTE,False,False,True,,,,4.681964874267578,-74.04290008544922,2026-07-23T12:24:34,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Bogotá,Chicó,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-2-habitaciones-4-banos-2-garajes/883-M6088875,883-M6088875,Apartamento,"Apartamento en Venta, CHICO, Bogotá D.C.",1250000000.0,180.0,6944444.0,normal,,9117647.0,True,2.0,4.0,2.0,6.0,1500000.0,CHICO,CHICO,False,False,True,,,,4.672509670257568,-74.0499038696289,2026-07-23T12:24:34,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Bogotá,Chicó,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-3-habitaciones-3-banos-2-garajes/17527-M6607194,17527-M6607194,Apartamento,"Apartamento en Venta, CHICO VIRREY, Bogotá D.C.",1590000000.0,141.0,11276596.0,normal,,9117647.0,False,3.0,3.0,2.0,1.0,1500000.0,CHICO NORTE,CHICO VIRREY,False,False,True,,,,4.678789138793945,-74.0572280883789,2026-07-23T12:24:34,2026-09-07,,pendiente,,pendiente,,,,,,True
Colombia,Medellín,El Poblado,COP,metrocuadrado,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-4-habitaciones-4-banos-1-garajes/14633-M5978030,14633-M5978030,Apartamento,"Apartamento en Venta, EL POBLADO, Medellín",1590000000.0,321.0,4953271.0,normal,,7786086.0,True,4.0,4.0,1.0,6.0,1000000.0,LA FLORIDA,EL POBLADO,False,False,True,,,,6.20523738861084,-75.56893920898438,2026-07-23T12:24:50,2026-09-07,,pendiente,,pendiente,,,,,,True
